filter,coin_name,kyc_or_not,presale,per_of_release,current_presale,soft,hard,currency,progress_percentage,day_hour_min_sec,current_date
Canceled , ACCOIN GAMEFI , No , Canceled , Project will receive 20% at first release , 0 ," 50,000 "," 100,000 ", USDT , 0.00% , Canceled , 2023-09-12
Canceled , Gyrowin (GW) Private Sale , Yes , Canceled , Project will receive 20% at first release ," 4,300 "," 50,000 "," 100,000 ", BUSD , 4.30% , Canceled , 2023-09-12
Canceled , Future Fox , No , Canceled , Project will receive 80% at first release , 0 , 10 , 20 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , Fantasy Girl Protocol (FGL) Token Presale , No , Canceled , Project will receive 80% at first release , 1.543685161313196585 , 60 , 120 , BNB , 1.29% , Canceled , 2023-09-12
Canceled , MEOW SPEED - Exclusive Private Sale , No , Canceled , Project will receive 70% at first release , 0.209417983 , 15 , 30 , BNB , 0.70% , Canceled , 2023-09-12
Canceled , LOLITA COIN , No , Canceled , Project will receive 50% at first release , 1.790255689130578246 , 150 , 200 , BNB , 0.90% , Canceled , 2023-09-12
Canceled , Frenzay Private Sale - Stage 1 , No , Canceled , Project will receive 50% at first release , 0.278970854 , 200 , 255 , BNB , 0.11% , Canceled , 2023-09-12
Canceled , Flash 3.0 - Private sale (Pinksale Exclusive) , No , Canceled , Project will receive 95% at first release , 2 , 75 , 150 , BNB , 1.33% , Canceled , 2023-09-12
Canceled , champion pepe private sale , No , Canceled , Project will receive 25% at first release , 0.5 , 25 , 50 , BNB , 1.00% , Canceled , 2023-09-12
Canceled , FarmGrid Private Sale(Early Access) , Yes , Canceled , Project will receive 50% at first release , 2.8675145108 , 100 , 200 , BNB , 1.43% , Canceled , 2023-09-12
Canceled , Private sale of Ninja Turtles Token . stage 1 , No , Canceled , Project will receive 40% at first release , 0 , 151 , 300 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , Happy Monkey Token - Private Sale , No , Canceled , Project will receive 95% at first release , 0.277846123011318145 , 98 , 196 , BNB , 0.14% , Canceled , 2023-09-12
Canceled , AI GIRL PreSale Launch , No , Canceled , Project will receive 40% at first release , 0 , 81 , 160 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , Argolands , No , Canceled , Project will receive 90% at first release , 46.703531120670522021 , 130 , 230 , BNB , 20.31% , Canceled , 2023-09-12
Canceled , Tom - King of memecoins , No , Canceled , Project will receive 40% at first release , 0 , 500 ," 1,000 ", BNB , 0.00% , Canceled , 2023-09-12
Canceled , PEPEGOLD , No , Canceled , Project will receive 40% at first release , 0 , 10 , 20 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , VAST Coin Private Sale , Yes , Canceled , Project will receive 80% at first release , 8.078965347642133986 , 400 , 800 , BNB , 1.01% , Canceled , 2023-09-12
Canceled , Royalty Holding Token , No , Canceled , Project will receive 50% at first release , 1.671582692 ," 1,000 "," 2,000 ", BNB , 0.08% , Canceled , 2023-09-12
Canceled , The Great Royal Sale , No , Canceled , Project will receive 95% at first release , 5.449939906 , 230 , 459 , BNB , 1.19% , Canceled , 2023-09-12
Canceled , Bearium - Tokenized Shares for Bearproof , Yes , Canceled , Project will receive 95% at first release , 0 , 50 , 100 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , The Lamden Realm - Play To Earn , No , Canceled , Project will receive 95% at first release , 0.1 , 40 , 50 , BNB , 0.20% , Canceled , 2023-09-12
Canceled , WE COIN PRIVATE SALE , No , Canceled , Project will receive 30% at first release , 0.99 , 500 ," 1,000 ", BNB , 0.10% , Canceled , 2023-09-12
Canceled , MCn , No , Canceled , Project will receive 40% at first release , 0 , 30 , 50 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , $Bitage Private Token Sale , No , Canceled , Project will receive 60% at first release , 0 , 100 , 200 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , VideoFi , No , Canceled , Project will receive 95% at first release , 0 , 20 , 38 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , Crypto Dragon Ball , No , Canceled , Project will receive 25% at first release , 0 , 275 , 500 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , Zartum Protocol Text to Video AI Seed Round , No , Canceled , Project will receive 95% at first release , 0 , 50 , 100 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , GreedyVerse Private Sale (Early Access) , Yes , Canceled , Project will receive 60% at first release , 0 , 40 , 80 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , GreedyVerse Private Sale (Early Access) , Yes , Canceled , Project will receive 90% at first release , 3.35 , 50 , 100 , BNB , 3.35% , Canceled , 2023-09-12
Canceled , KODEXPAY , No , Canceled , Project will receive 40% at first release , 0 ," 1,000,000 "," 1,000,000 ", BNB , 0.00% , Canceled , 2023-09-12
Canceled ," Favoom - The web3 social media platform for cryptocurrencies, tokens and NFTs. ", No , Canceled , Project will receive 40% at first release , 0.3 , 100 , 200 , BNB , 0.15% , Canceled , 2023-09-12
Canceled ," Wheat Token ""Private Sale"" - 50% OFF of the launch price ", No , Canceled , Project will receive 2% at first release , 100 ," 75,000 "," 150,000 ", BUSD , 0.07% , Canceled , 2023-09-12
Canceled , MIR TOKEN PRESALE , No , Canceled , Project will receive 25% at first release , 0 ," 10,000 "," 15,000 ", BNB , 0.00% , Canceled , 2023-09-12
Canceled , ClickBack Private Sale , No , Canceled , Project will receive 50% at first release , 0 ," 46,873.6 "," 93,747.2 ", USDT , 0.00% , Canceled , 2023-09-12
Canceled , Master Of Rewards [Seed Round] , No , Canceled , Project will receive 90% at first release , 0.25 , 25 , 50 , BNB , 0.50% , Canceled , 2023-09-12
Canceled , Easy Coin Private Sale , Yes , Canceled , Project will receive 50% at first release , 0.18 , 10 , 20 , BNB , 0.90% , Canceled , 2023-09-12
Canceled , Snowflake Aid For Turkiye , No , Canceled , Project will receive 20% at first release , 49 ," 1,500,000 "," 2,500,000 ", USDT , 0.00% , Canceled , 2023-09-12
Canceled , Snowflake Token Sale , No , Canceled , Project will receive 40% at first release , 498.21971957264714 ," 50,000 "," 100,000 ", USDT , 0.50% , Canceled , 2023-09-12
Canceled , TravelCard Private sale BSC , Yes , Canceled , Project will receive 70% at first release , 16.33045525 , 150 , 300 , BNB , 5.44% , Canceled , 2023-09-12
Canceled , CoinFeedback - Seed Round , Yes , Canceled , Project will receive 95% at first release , 0.96137955 , 350 , 700 , BNB , 0.14% , Canceled , 2023-09-12
Canceled , CoinFeedback - Test Round ( NO BUY ) , No , Canceled , Project will receive 55% at first release , 0 ," 200,000 "," 400,000 ", USDT , 0.00% , Canceled , 2023-09-12
Canceled , Razor Network BSC - Private Sale , No , Canceled , Project will receive 60% at first release , 1.275 , 150 , 300 , BNB , 0.43% , Canceled , 2023-09-12
Canceled , BeePro Private Round , Yes , Canceled , Project will receive 95% at first release , 3.271459355 , 350 , 700 , BNB , 0.47% , Canceled , 2023-09-12
Canceled , Hyperion Private Sale , Yes , Canceled , Project will receive 80% at first release , 0 , 22 , 44 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , Hyperion Private Sale , No , Canceled , Project will receive 80% at first release , 0 , 22 , 44 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , PrivateX Private Sale , No , Canceled , Project will receive 95% at first release , 136.95701397407188 ," 25,000 "," 50,000 ", BUSD , 0.27% , Canceled , 2023-09-12
Canceled , PrivateX Private Sale , No , Canceled , Project will receive 95% at first release , 0 ," 25,000 "," 50,000 ", BUSD , 0.00% , Canceled , 2023-09-12
Canceled , Doge Vegas Seed Sale , Yes , Canceled , Project will receive 90% at first release , 0 , 25 , 50 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , Avatanium (AAM) Private Sale , No , Canceled , Project will receive 95% at first release , 0.319 , 50 , 100 , BNB , 0.32% , Canceled , 2023-09-12
Canceled , BeePro Seed Round , Yes , Canceled , Project will receive 50% at first release , 295.20153 , 700 ," 1,300 ", BNB , 22.71% , Canceled , 2023-09-12
Canceled , EverSAFU Private Sale , No , Canceled , Project will receive 70% at first release , 26.525479490546995614 , 50 , 100 , BNB , 26.53% , Canceled , 2023-09-12
Canceled , BRIKN Private Sale , Yes , Canceled , Project will receive 20% at first release , 2.940468926213107877 , 200 , 400 , BNB , 0.74% , Canceled , 2023-09-12
Canceled , BRIKN Private Sale , No , Canceled , Project will receive 50% at first release , 0 , 200 , 400 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , Cremation Coin Private Sale , Yes , Canceled , Project will receive 95% at first release , 0.377175448 , 5 , 10 , BNB , 3.77% , Canceled , 2023-09-12
Canceled , Enrgy Green , Yes , Canceled , Project will receive 90% at first release , 7.958547788741027898 , 50 , 100 , BNB , 7.96% , Canceled , 2023-09-12
Canceled , Grow Mine Operation (GMO) Presale , Yes , Canceled , Project will receive 50% at first release , 0 , 141 , 281 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , Coinology Private Sale Round 1 , Yes , Canceled , Project will receive 90% at first release , 107.509212594484700415 , 350 , 700 , BNB , 15.36% , Canceled , 2023-09-12
Canceled , SpookyCat Private Sale , No , Canceled , Project will receive 95% at first release , 24.7 , 37.5 , 75 , BNB , 32.93% , Canceled , 2023-09-12
Canceled , VitalVeda $VVFIT Private sale , Yes , Canceled , Project will receive 80% at first release , 8.688919833391448297 , 20 , 40 , BNB , 21.72% , Canceled , 2023-09-12
Canceled , Connect SoulBound Protocol , Yes , Canceled , Project will receive 40% at first release , 0 , 250 , 500 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , Connect: A Trend Forecast , No , Canceled , Project will receive 50% at first release , 0 , 250 , 500 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , CyberCoinVerse $CCV , No , Canceled , Project will receive 95% at first release ," 1,374.2397484924888 "," 15,000 "," 30,000 ", BUSD , 4.58% , Canceled , 2023-09-12
Canceled , 0x5c27918DBDF929Cd8DC5b755FF74eA48aAD2F9A4 , No , Canceled , Project will receive 40% at first release , 0 , 30 , 60 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , [Private Sale] Private Sale can be purchased at 60% cheaper than the published price in the future. , No , Canceled , Project will receive 95% at first release , 0.525378855 , 50 , 100 , BNB , 0.53% , Canceled , 2023-09-12
Canceled , Luminous Angel , No , Canceled , Project will receive 95% at first release , 10 , 100 , 200 , BNB , 5.00% , Canceled , 2023-09-12
Canceled , Xdroids Virtual Reality Warfare Seed Sale 1 , Yes , Canceled , Project will receive 50% at first release , 400 ," 50,000 "," 100,000 ", BUSD , 0.40% , Canceled , 2023-09-12
Canceled , LinkDao Network , Yes , Canceled , Project will receive 20% at first release , 3.506 , 200 , 400 , BNB , 0.88% , Canceled , 2023-09-12
Canceled , Alightpay $ALPY - Private Round , No , Canceled , Project will receive 50% at first release , 715.0698462057508 ," 12,500 "," 25,000 ", BUSD , 2.86% , Canceled , 2023-09-12
Canceled , Neloverse Presale , Yes , Canceled , Project will receive 80% at first release ," 44,415.662039479124 "," 102,000 "," 204,000 ", BUSD , 21.77% , Canceled , 2023-09-12
Canceled , Arabian Camel Token | Crypto Camel NFT *Like Crypto Punks NFT* presale , No , Canceled , Project will receive 35% at first release , 6.345 , 20 , 40 , BNB , 15.86% , Canceled , 2023-09-12
Canceled , ASTROL TOKEN , No , Canceled , Project will receive 90% at first release , 625.24777876 ," 26,000 "," 51,000 ", BUSD , 1.23% , Canceled , 2023-09-12
Canceled , Metapolex Token Private Sale , No , Canceled , Project will receive 70% at first release , 1.853 , 100 , 200 , BNB , 0.93% , Canceled , 2023-09-12
Canceled , Runex ( REX ) Private Sale , No , Canceled , Project will receive 30% at first release , 0 ," 175,000 "," 350,000 ", BUSD , 0.00% , Canceled , 2023-09-12
Canceled , Hero World Private Sale , No , Canceled , Project will receive 90% at first release , 0 , 50 , 100 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , Metapolex Token Private Sale , No , Canceled , Project will receive 30% at first release , 0 , 200 , 400 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , Little Big Snake (LBS) Private sale , No , Canceled , Project will receive 80% at first release , 1.65 , 50 , 100 , BNB , 1.65% , Canceled , 2023-09-12
Canceled , Giver Finance Private Sale , No , Canceled , Project will receive 95% at first release , 20.01 ," 2,500 "," 5,000 ", USDT , 0.40% , Canceled , 2023-09-12
Canceled , Uxcord Token (UXT) Private Sale , No , Canceled , Project will receive 70% at first release , 1.41 , 200 , 380 , BNB , 0.37% , Canceled , 2023-09-12
Canceled , Elon PetCoin ($EPC) Private Sale , No , Canceled , Project will receive 50% at first release , 0.1 , 50 , 100 , BNB , 0.10% , Canceled , 2023-09-12
Canceled , LYKA PRIVATE SALE , No , Canceled , Project will receive 80% at first release , 0 , 150 , 300 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , CryptoRafting Token (RAFT) Phase 3/3 , No , Canceled , Project will receive 50% at first release , 0 ," 10,000 "," 20,000 ", BUSD , 0.00% , Canceled , 2023-09-12
Canceled , PooChain 💩 , No , Canceled , Project will receive 34% at first release , 12.96546047041378539 , 70 , 140 , BNB , 9.26% , Canceled , 2023-09-12
Canceled , CryptoPredictions365 Private Sale , Yes , Canceled , Project will receive 50% at first release , 10.54 , 25 , 50 , BNB , 21.08% , Canceled , 2023-09-12
Canceled , GOOD ROLL CRYPTO (GRC) , No , Canceled , Project will receive 75% at first release , 0 , 22 , 38.5 , BUSD , 0.00% , Canceled , 2023-09-12
Canceled , GPS Riding $GPS Seed Sale 1 , Yes , Canceled , Project will receive 80% at first release ," 1,573.7147352491372 "," 150,000 "," 300,000 ", BUSD , 0.52% , Canceled , 2023-09-12
Canceled , SLEEP Private Sale #1 , Yes , Canceled , Project will receive 95% at first release ," 1,835.9313990769588 "," 25,000 "," 50,000 ", BUSD , 3.67% , Canceled , 2023-09-12
Canceled , LARGE CHAİN (LRG) , No , Canceled , Project will receive 40% at first release , 2.3844572430571742 , 10 , 20 , BNB , 11.92% , Canceled , 2023-09-12
Canceled , GPS Riding $GPS Seed Sale 1 , Yes , Canceled , Project will receive 80% at first release ," 13,614.063573048312 "," 25,000 "," 50,000 ", BUSD , 27.23% , Canceled , 2023-09-12
Canceled , Tipyield(TY+) Private sale , No , Canceled , Project will receive 70% at first release , 0 , 100 , 200 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , Mars Fellows $MAF Private Sale , No , Canceled , Project will receive 50% at first release ," 1,079.663065145005 "," 40,000 "," 80,000 ", BUSD , 1.35% , Canceled , 2023-09-12
Canceled , Minionsinu - Minionsinu is the best memecoin 2022 inspired from Minions , No , Canceled , Project will receive 80% at first release , 11.20612196 , 750 ," 1,500 ", BNB , 0.75% , Canceled , 2023-09-12
Canceled , Battle Royal private sale with 20% discount , Yes , Canceled , Project will receive 80% at first release , 1.5 , 25 , 50 , BNB , 3.00% , Canceled , 2023-09-12
Canceled , Ghost Factory Private sales , No , Canceled , Project will receive 40% at first release , 0 , 65 , 130 , BNB , 0.00% , Canceled , 2023-09-12
Canceled , CRYPTO HOME : SEMI-DECENTRALIZED SOCIAL MEDIA PLATFORM FOR CRYPTO LOVERS GLOBALLY , Yes , Canceled , Project will receive 50% at first release , 0 ," 30,000 "," 60,000 ", BUSD , 0.00% , Canceled , 2023-09-12
Canceled , Keeswap.com , No , Canceled , Project will receive 10% at first release , 0 ," 450,000 "," 900,000 ", BUSD , 0.00% , Canceled , 2023-09-12
Canceled , Reign Of Terror | ROT , No , Canceled , Project will receive 50% at first release , 0 , 15 , 30 , BNB , 0.00% , Canceled , 2023-09-12
