filter,coin_name,kyc_or_not,presale,per_of_release,current_presale,soft,hard,currency,progress_percentage,day_hour_min_sec,current_date
Ended , Kanalcoin - Private Sale , No , Ended , Project will receive 90% at first release , 0 , 250 , 500 , BNB , 0.00% , Ended , 2023-09-12
Ended , APPLE COIN , No , Ended , Project will receive 90% at first release , 100.483486338083191234 , 100 , 200 , BNB , 50.24% , Ended , 2023-09-12
Ended , GOOGLE COIN , No , Ended , Project will receive 90% at first release , 107.88392 , 100 , 200 , BNB , 53.94% , Ended , 2023-09-12
Ended , BASE COIN , No , Ended , Project will receive 50% at first release , 200 , 100 , 200 , BNB , 100.00% , Ended , 2023-09-12
Ended , OXO , No , Ended , Project will receive 40% at first release , 0 , 100 , 200 , BNB , 0.00% , Ended , 2023-09-12
Ended , NXN Network - Presale Stage 1 - Round 1 , No , Ended , Project will receive 95% at first release , 315 ," 5,000 "," 10,000 ", USDT , 3.15% , Ended , 2023-09-12
Ended , Ozone Chain (OZO) Private Sale , No , Ended , Project will receive 95% at first release ," 50,000 "," 25,000 "," 50,000 ", USDT , 100.00% , Ended , 2023-09-12
Ended , Chotu Dragon , No , Ended , Project will receive 95% at first release , 0 , 70 , 140 , BNB , 0.00% , Ended , 2023-09-12
Ended , Presale Jonko-Finance , No , Ended , Project will receive 40% at first release , 0 , 100 , 200 , BNB , 0.00% , Ended , 2023-09-12
Ended ," 🧀 Unleash the Power of ""Tom & Jerry"" Coin! The Legendary Coin🔴🐭🐱 ", No , Ended , Project will receive 90% at first release , 0.5 , 100 , 150 , BNB , 0.33% , Ended , 2023-09-12
Ended , RYDESWAP , No , Ended , Project will receive 95% at first release , 245 ," 25,000 "," 45,000 ", USDT , 0.54% , Ended , 2023-09-12
Ended , Secure Netra , Yes , Ended , Project will receive 90% at first release , 2.2199275 , 25 , 50 , BNB , 4.44% , Ended , 2023-09-12
Ended , Bitcoin Classic , No , Ended , Project will receive 95% at first release , 0.5 , 100 , 200 , BNB , 0.25% , Ended , 2023-09-12
Ended , Welcome to EBurn Presale ! , No , Ended , Project will receive 25% at first release , 2.825208935005355591 , 25 , 50 , BNB , 5.65% , Ended , 2023-09-12
Ended , Die Pepe , No , Ended , Project will receive 95% at first release , 0.28947235 , 5 , 10 , BNB , 2.89% , Ended , 2023-09-12
Ended , Burning Pepe - Private Sale , Yes , Ended , Project will receive 90% at first release , 20 , 10 , 20 , BNB , 100.00% , Ended , 2023-09-12
Ended , Project BloodFin Private Sale Round 2 , No , Ended , Project will receive 95% at first release , 10 , 5 , 10 , BNB , 100.00% , Ended , 2023-09-12
Ended , Project BloodFin Private Sale Round , No , Ended , Project will receive 95% at first release , 10 , 5 , 10 , BNB , 100.00% , Ended , 2023-09-12
Ended , HKB public , No , Ended , Project will receive 95% at first release ," 122,591.05721749298 "," 120,000 "," 210,000 ", USDT , 58.38% , Ended , 2023-09-12
Ended , pepeeconomytoken , No , Ended , Project will receive 80% at first release , 13.587693902582095901 , 10 , 20 , BNB , 67.94% , Ended , 2023-09-12
Ended , SOLC Private Sale , No , Ended , Project will receive 55% at first release , 6.401006735141575832 , 30 , 60 , BNB , 10.67% , Ended , 2023-09-12
Ended , QUARKS AI and Metaverse , No , Ended , Project will receive 95% at first release , 1.987754906 , 52 , 102 , BNB , 1.95% , Ended , 2023-09-12
Ended , GOHK Hong Kong chain currency starts pre-sale , No , Ended , Project will receive 95% at first release ," 10,000 "," 5,000 "," 10,000 ", USDT , 100.00% , Ended , 2023-09-12
Ended , KXP TOKEN , No , Ended , Project will receive 30% at first release , 109.2123662099422 ," 350,000 "," 700,000 ", USDT , 0.02% , Ended , 2023-09-12
Ended , Easy Coin Private Sale , Yes , Ended , Project will receive 50% at first release , 12.471530378356210307 , 10 , 20 , BNB , 62.36% , Ended , 2023-09-12
Ended , Crypto Maca , No , Ended , Project will receive 90% at first release , 1.18 , 50 , 100 , BNB , 1.18% , Ended , 2023-09-12
Ended , Turkey Relief Token , No , Ended , Project will receive 25% at first release , 7.894 , 5 , 10 , BNB , 78.94% , Ended , 2023-09-12
Ended , BNBULTRA , No , Ended , Project will receive 40% at first release , 1.606655422481468541 , 50 , 100 , BNB , 1.61% , Ended , 2023-09-12
Ended , WeSleep: Private Sale , No , Ended , Project will receive 85% at first release , 0 , 405 , 810 , BNB , 0.00% , Ended , 2023-09-12
Ended , Meven - Angel Round , No , Ended , Project will receive 95% at first release , 27.02 , 85 , 170 , BNB , 15.89% , Ended , 2023-09-12
Ended , Safe Coliseum - SCOLT - Pre-Sale Round 1 , No , Ended , Project will receive 60% at first release , 0.33 , 161 , 322 , BNB , 0.10% , Ended , 2023-09-12
Ended , Awaken The Empire Private Sale , No , Ended , Project will receive 40% at first release , 74.49352011071966 ," 60,000 "," 120,000 ", BUSD , 0.06% , Ended , 2023-09-12
