coin_name,kyc_or_not,audit_or_not,description,current_presale,soft_cap,hard_cap,currency,private_sale_start_time_(UTC),private_sale_end_time_(UTC),date_last_updated,first_release_for_project,vesting_for_project,status,minimum_buy,maximum_buy,website_link
 Clicks Platform , Yes , No ," A Web3 Social Platform that lets you create, share, and monetize interactive content Decentralized social media platform that puts you in control of your data, advanced privacy features and decentralized storage ✅ Decentralized & accessible to anyone ✅ KYCed ✅ Audited ✅ NFT ✅ Multi-chain ✅ AI tools ",0 ," 25,000 "," 50,000 ", USDT , 2023.09.07 04:30 , 2023.09.30 16:30 , 2023-09-14 , 80% , 20% each 10 days , inprogress ,120.0," 3,000 ", https://clickschain.com/
 Kanalcoin - Private Sale , No , No ," Kanalcoin is a media Platform Portal, everyone can find information on the Cryptocurrency Industry, Live Prices, Events, Writing analysis, Crypto Monitoring, ICO IDO IEO, Crypto Calendar, Staking & Exchange. One Page (Tokenomics) : https://kanalcoin.com/ONE-PAGE.pdf ",0 , 250 , 500 , BNB , 2023.09.06 00:00 , 2023.09.12 00:00 , 2023-09-14 , 90% , 10% each 30 days , ended ,0.2, 20 , https://www.kanalcoin.com/
 BEST TESLA COIN , No , No ," Tesla is an American company, a manufacturer of electric vehicles and solutions (see SolarCity) for storing electricity The company was founded in July 2003 by Martin Eberhard[en] and Mark Tarpenning, but the current management of the company is by the bank's co-founders Elon Musk, Jeffrey Brian Straubel and Ian Wright. In 2019, Tesla became the largest manufacturer of electric vehicles in the world BEST TESLA COIN is MEME COIN in honor of Tesla. ",0.25 , 100 , 200 , BNB , 2023.08.30 02:07 , 2023.09.16 01:08 , 2023-09-14 , 30% , 10% each 2 days , canceled ,0.1, 10 , https://photos.pinksale.finance/file/pinksale-logo-upload/1693347000980-639fe3e6cbed87cf28013a739a9df8ed.png
 APPLE COIN , No , No ," Apple Inc. is an American multinational technology company headquartered in Cupertino, California. Apple is the world's largest technology company by revenue, with US$394.3 billion in 2022 revenue.As of March 2023, Apple is the world's biggest company by market capitalization.APPLE COIN IS MEME COIN. ",100.483486338083191234 , 100 , 200 , BNB , 2023.08.31 12:00 , 2023.09.01 12:00 , 2023-09-14 , 90% , 10% each 1 days , ended ,0.1, 100 , https://photos.pinksale.finance/file/pinksale-logo-upload/1693291651823-32d3ca5e23f4ccf1e4c8660c40e75f33.png
 ACCOIN GAMEFI , No , No ," The wallet addresses participating in the private sale will be included in the white list of NFT subscriptions ！ Private sale accounts for 50,000,000 tokens . Accoin Gamefi is a game project, the most recommended project of the year 🔥The launch of the #ACC token will be one of the largest ever, the next 1000x potential project! 📈 ✅Buy Tax 0% / Sell Tax 0% .✅Token deflation ✅NFTs automatic Starking income ✅Play and earn ecosystem ✅LP locked 10 Year ",0 ," 50,000 "," 100,000 ", USDT , 2023.08.26 00:00 , 2023.08.31 23:59 , 2023-09-14 , 20% , 10% each 30 days , canceled ,300.0," 10,000 ", https://accoingamefi.com/
 GOOGLE COIN , No , No ," Google was founded on September 4, 1998, by American computer scientists Larry Page and Sergey Brin while they were PhD students at Stanford University in California. Together they own about 14% of its publicly listed shares and control 56% of its stockholder voting power through super-voting stock. The company went public via an initial public offering (IPO) in 2004. In 2015, Google was reorganized as a wholly owned subsidiary of Alphabet Inc. GOOGLE COIN is MEME COIN in honor of Google. ",107.88392 , 100 , 200 , BNB , 2023.08.26 12:00 , 2023.08.27 12:00 , 2023-09-14 , 90% , 10% each 2 days , ended ,0.1, 100 , https://photos.pinksale.finance/file/pinksale-logo-upload/1692772370861-804dd28389cb45bf712604824521a123.png
 BASE COIN , No , No ," only pull, no working.BASE COIN is MEME coin for layer 2 called base chain.base chain is deploied by coin base. only pull, no working.BASE COIN is MEME coin for layer 2 called base chain.base chain is deploied by coin base. only pull, no working.BASE COIN is MEME coin for layer 2 called base chain.base chain is deploied by coin base. ",200 , 100 , 200 , BNB , 2023.08.22 00:00 , 2023.08.24 00:00 , 2023-09-14 , 50% , 25% each 2 days , ended ,0.1, 100 , https://photos.pinksale.finance/file/pinksale-logo-upload/1692606411234-1bb87d41d15fe27b500a4bfcde01bb0e.png
 Matrix Exchange Global Shares Pressale , No , No ," Taste the Experience of a new economic modal that combines financial stocks and digital currencies (IPO + ICO) The Matrix Exchange Token (MUSD) is a revolutionary digital asset designed to represent shares of Matrix Global Exchange, an upcoming leading cryptocurrency exchange under the Matrix Groups Holding Co in Turkey. MUSD holders will enjoy regular profit distributions from the exchange's quarterly profits. ",0 ," 1,000,000 "," 2,000,000 ", USDT , 2023.08.20 20:54 , 2023.11.30 20:54 , 2023-09-14 , 40% , 20% each 25 days , inprogress ,100.0," 10,000 ", https://matrix-exchange.global/
 Gyrowin (GW) Private Sale , Yes , No ," Gyrowin is a decentralised cross-chain gaming and defi platform, which let's user play lottery and earn interest on their winnings through lending. Gyrowin also introduces the new fun way to stake Gyrowin token in bsc with multiple rewards sources resulting in higher yield. ✅ Chainlink automation ✅ Governance ✅ Fully audited contracts ✅ Tokenomics audits for secure business models ✅ 15% staking rewards of lottery prize ✅ 5% burn of lottery prize ✅ Zero liquidation collateral on borrowing ","4,300 "," 50,000 "," 100,000 ", BUSD , 2023.08.21 16:00 , 2023.08.26 23:59 , 2023-09-14 , 20% , 5% each 14 days , canceled ,100.0," 5,000 ", https://gyro.win/
 Future Fox , No , No ," Introducing Future Fox: A visionary fusion of technology and sustainability. Our blockchain ensures transparent resource tracking and optimizes industrial processes, minimizing waste and promoting ecological efficiency. In private sale and pre-sale, access exclusive staking pools with up to 5% monthly returns, investing in a greener future. Join us for a impactful, profitable, and eco-conscious investment journey. 🌍🌱 #FutureFox #SustainableInvestment #GreenInnovation ",0 , 10 , 20 , BNB , 2023.08.15 20:00 , 2023.08.22 20:00 , 2023-09-14 , 80% , 20% each 1 days , canceled ,0.21, 20 , https://futurefoxsite.com/
 OXO , No , No , Private Sale Address 0x2ee13A100C8867C3B10FfB5fd0CEEbd61Dc7e6ED ,0 , 100 , 200 , BNB , 2023.08.12 21:54 , 2023.08.13 20:54 , 2023-09-14 , 40% , 20% each 100 days , ended ,0.1, 100 , https://www.blockchain.com/
 NXN Network - Presale Stage 1 - Round 1 , No , No ," NXN Network- the next gen mining platform inspired by Bitcoin + DeFi. NXN aims to build the next big crypto community of the likes of ADA XRP DOGE. $1 = 10,000 NXN. Please read our documentation for all official information on price, vesting periods and futures rounds- https://docs.nxn.network/documentation/how-to-buy ✅Testnet Launched ✅Reserve Now = Shorter Mint ✅Disinflationary Tokenomics ✅Utility NFT Burn ✅Multiple Burn Systems ✅Join the DeFi revolution ",315 ," 5,000 "," 10,000 ", USDT , 2023.08.12 20:15 , 2023.09.01 10:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,5.0," 1,000 ", https://nxn.network/
